justinbieber,8.61711E+17,5/8/2017 22:36,b'Dubai is incredible... India you are next. @Amit_Bhatia99 u ready? #PurposeTourStadiums',4,48985,147619,4
,,,,,,,
justinbieber,8.61711E+17,5/8/2017 22:35,b'@djkhaled congrats my friend',0,14285,30288,4
,,,,,,,
justinbieber,8.61711E+17,5/8/2017 22:34,b'RT @SB_Projects: \xe2\x98\x9d\xf0\x9f\x8f\xbc\xf0\x9f\x8f\x86 https://t.co/lsBJhPIgt3',0,25669,0,0
,,,,,,,
justinbieber,8.61648E+17,5/8/2017 18:24,"b'RT @billboard: .@DJKhaled\'s all-star ""I\'m the One"" debuts at No. 1 on the #Hot100 chart! https://t.co/lnvWGTvKmk https://t.co/fslLGKtqSN'",0,31801,0,0
,,,,,,,
justinbieber,8.60899E+17,5/6/2017 16:47,b'RT @polydorrecords: Despacito is Tune of the Weekend on @BBCR1! @justinbieber @luisfonsi \n\nhttps://t.co/haETcisQUc https://t.co/wZ9gxnVYdJ',0,27766,0,0
,,,,,,,
justinbieber,8.60725E+17,5/6/2017 5:16,b'I see u @chancetherapper . Request #imtheone https://t.co/8qaatwx1hk @djkhaled',0,43585,124261,0
,,,,,,,
justinbieber,8.60514E+17,5/5/2017 15:19,b'Israel was incredible... Dubai your next #PurposeTourStadiums',4,47640,152083,4
,,,,,,,
justinbieber,8.59385E+17,5/2/2017 12:30,b'Israel is next #PurposeTourStadiums',0,49260,150172,0
,,,,,,,
justinbieber,8.58548E+17,4/30/2017 5:05,b'Always give back. Happy #WorldWishDay @MakeAWish',4,64953,170762,4
,,,,,,,
justinbieber,8.57979E+17,4/28/2017 15:26,b'#ImTheOne https://t.co/pJibbCZK1J',0,75257,150885,0
,,,,,,,
justinbieber,8.57967E+17,4/28/2017 14:38,"b""RT @Vevo: #Summer17 anthem is here. Watch @djkhaled, @justinbieber, @QuavoStuntin, @chancetherapper &amp; @LilTunechi's #ImTheOne https://t.co/\xe2\x80\xa6""",0,42867,0,0
,,,,,,,
justinbieber,8.57967E+17,4/28/2017 14:37,b'#ImTheOne https://t.co/Xc7FIJs9ML',0,80936,158618,0
,,,,,,,
justinbieber,8.57356E+17,4/26/2017 22:11,b'RT @djkhaled: Friday video and Anthem will be available everywhere 6am!  Get some rest ! WE COMING ! #IMTHEONE\xe2\x80\xa6 https://t.co/2ejpX1MXqD',4,27744,0,0
,,,,,,,
justinbieber,8.56605E+17,4/24/2017 20:25,"b'RT @djkhaled: Dj Khaled ""I\'m The One"" FT @justinbieber @QuavoStuntin @chancetherapper @LilTunechi will be available everywhere Friday #Grat\xe2\x80\xa6'",4,43872,0,0
,,,,,,,
justinbieber,8.56605E+17,4/24/2017 20:25,b'Despacito #1 in the world. Thank you',0,162150,428738,4
,,,,,,,
justinbieber,8.54017E+17,4/17/2017 17:01,b'https://t.co/Z43Zkq0jF5',0,108976,225338,0
,,,,,,,
justinbieber,8.53978E+17,4/17/2017 14:26,b'#DespacitoRemix https://t.co/ROULx0zv9X',0,141908,307310,0
,,,,,,,
justinbieber,8.53978E+17,4/17/2017 14:26,b'#DespacitoRemix https://t.co/i8a2T9Euhb',0,82801,189266,0
,,,,,,,
justinbieber,8.53833E+17,4/17/2017 4:50,b'Despacito (Remix) [feat. Justin Bieber] - Single by Luis Fonsi &amp; Daddy Yankee\nhttps://t.co/itfUuQyJzx',-4,105048,212628,0
,,,,,,,
justinbieber,8.53815E+17,4/17/2017 3:38,b'Remix https://t.co/RZazHB94F8',0,143075,322069,0
,,,,,,,
justinbieber,8.44676E+17,3/22/2017 22:22,b'RT @charitywater: Today is #WorldWaterDay! Come take our quiz and see what life without clean water looks like for someone like you: https:\xe2\x80\xa6',4,27519,0,0
,,,,,,,
justinbieber,8.44591E+17,3/22/2017 16:45,b'S America next #PurposeTourStadiums',0,62074,164193,0
,,,,,,,
justinbieber,8.44591E+17,3/22/2017 16:45,b'I love New Zealand',4,52671,186261,4
,,,,,,,
justinbieber,8.39542E+17,3/8/2017 18:23,b'#PurposePopUpAUS https://t.co/qN6ugBqu6c',0,68056,208152,0
,,,,,,,
justinbieber,8.3818E+17,3/5/2017 0:12,b'#PurposeTourStadiums #Australia',0,57289,171941,0
,,,,,,,
justinbieber,8.3818E+17,3/5/2017 0:11,b'RT @Bkstg: Are you attending any of the upcoming @justinbieber OZ/NZ #PurposeTour dates? https://t.co/FsCNcnQHNo https://t.co/m5Mgmdz4lt',0,27150,0,0
,,,,,,,
justinbieber,8.3818E+17,3/5/2017 0:10,b'Congrats https://t.co/mtQ0XskEEn',0,42060,129784,0
,,,,,,,
justinbieber,8.37138E+17,3/2/2017 3:08,"b""It's my birthday and all I want is to be a better friend, better brother, better son and better man https://t.co/hBau3PWYKo""",4,180817,495320,4
,,,,,,,
justinbieber,8.35009E+17,2/24/2017 6:10,b'https://t.co/pUGWM6HA2X',0,95613,265197,0
,,,,,,,
justinbieber,8.35009E+17,2/24/2017 6:10,"b""Someone got me flowers and I was driving, made a turn, and the water spilled on my dick area...Didn't bother me if it made ya laugh nice!""",4,119676,314278,0
,,,,,,,
